filename,width,height,class,xmin,ymin,xmax,ymax,
02ba4973-4a93-427c-bd84-4c8fee47128f.jpg,416,416,hotspot,14,67,80,123,
d69832c5-d31c-42aa-9452-b41703e49536.jpg,416,416,hotspot,69,140,86,164,
c2ccf2af-c1a9-4db0-84a7-2c38f14a5c36.jpg,416,416,hotspot,346,234,381,274,
180c81dd-6c95-456c-8f44-52377c8fa8ec.jpg,416,416,hotspot,191,66,217,90,
180c81dd-6c95-456c-8f44-52377c8fa8ec.jpg,416,416,hotspot,190,6,216,24,
a6b21cd0-5b4d-4aea-840b-d49bb67d5a41.jpg,416,416,hotspot,333,185,359,219,
a6b21cd0-5b4d-4aea-840b-d49bb67d5a41.jpg,416,416,hotspot,403,192,415,216,
4e89f3fe-a4ee-42f5-969b-fee9d0c9d2f9.jpg,416,416,hotspot,307,42,359,95,
0bb4b22e-daff-45ff-8c8b-86b695aac66b.jpg,416,416,hotspot,287,196,374,248,
0bb4b22e-daff-45ff-8c8b-86b695aac66b.jpg,416,416,hotspot,240,137,315,198,
0bb4b22e-daff-45ff-8c8b-86b695aac66b.jpg,416,416,hotspot,218,113,288,167,
5fce87a8-db2b-40c1-84d3-3cf52a20177c.jpg,416,416,hotspot,333,256,354,274,
5fce87a8-db2b-40c1-84d3-3cf52a20177c.jpg,416,416,hotspot,390,247,407,267,
5fce87a8-db2b-40c1-84d3-3cf52a20177c.jpg,416,416,hotspot,290,265,298,274,
66d6a26d-d8f8-45a1-9bcd-0070e9c2a0d6.jpg,416,416,hotspot,159,244,167,256,
66d6a26d-d8f8-45a1-9bcd-0070e9c2a0d6.jpg,416,416,hotspot,163,195,171,207,
66d6a26d-d8f8-45a1-9bcd-0070e9c2a0d6.jpg,416,416,hotspot,170,195,176,207,
c1c43ea7-5aae-41e0-9b24-fe7eae12656a.jpg,416,416,hotspot,19,153,131,248,
fda9f861-6dde-4c70-8f08-35d9157baac9.jpg,416,416,hotspot,208,117,212,123,
fda9f861-6dde-4c70-8f08-35d9157baac9.jpg,416,416,hotspot,202,104,208,114,
fda9f861-6dde-4c70-8f08-35d9157baac9.jpg,416,416,hotspot,198,93,205,101,
eca01d93-6aeb-495a-b371-2eee9da6f0aa.jpg,416,416,hotspot,269,324,309,368,
b2e32e2e-f160-4cd1-bae5-9300e230e641.jpg,416,416,hotspot,120,38,189,107,
7ef7ae56-3441-448d-8502-03f80e161546.jpg,416,416,hotspot,283,73,287,81,
7ef7ae56-3441-448d-8502-03f80e161546.jpg,416,416,hotspot,286,74,292,84,
7ef7ae56-3441-448d-8502-03f80e161546.jpg,416,416,hotspot,288,97,294,105,
7ef7ae56-3441-448d-8502-03f80e161546.jpg,416,416,hotspot,173,138,176,146,
7ef7ae56-3441-448d-8502-03f80e161546.jpg,416,416,hotspot,174,145,180,151,
475476ee-313e-4f32-9667-40e2e614484e.jpg,416,416,hotspot,249,348,302,408,
9ce5c2f0-dbf0-4901-bd20-9e8d85b613c8.jpg,416,416,hotspot,245,239,377,335,
7fd0340f-5a45-4e28-a742-e9c25b4ebce2.jpg,416,416,hotspot,229,231,234,239,
7fd0340f-5a45-4e28-a742-e9c25b4ebce2.jpg,416,416,hotspot,222,218,229,226,
7fd0340f-5a45-4e28-a742-e9c25b4ebce2.jpg,416,416,hotspot,218,204,224,214,
09125d45-e261-4f26-bd4b-d0e9045aad78.jpg,416,416,hotspot,148,70,168,82,
4dc307d0-6232-4466-92cc-d67b351d341c.jpg,416,416,hotspot,249,165,253,174,
4dc307d0-6232-4466-92cc-d67b351d341c.jpg,416,416,hotspot,244,213,250,225,
4dc307d0-6232-4466-92cc-d67b351d341c.jpg,416,416,hotspot,236,211,243,223,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,223,335,227,354,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,216,336,222,354,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,210,335,216,353,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,203,334,209,354,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,197,335,201,353,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,189,337,195,355,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,182,338,188,355,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,176,339,182,357,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,168,338,174,356,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,162,340,169,356,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,157,340,163,358,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,149,341,155,359,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,69,348,73,368,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,143,341,147,359,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,106,343,114,363,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,116,343,121,361,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,121,343,127,361,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,129,342,135,359,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,136,341,142,359,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,227,308,232,325,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,222,308,228,325,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,217,308,222,324,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,211,309,217,325,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,204,309,210,325,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,202,310,205,326,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,194,310,200,326,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,188,309,194,326,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,182,310,188,326,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,176,310,182,326,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,170,309,176,327,
f39ab94c-924c-4e8e-9c74-f313c37fd981.jpg,416,416,diode,166,309,173,329,
